code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
002870,香山股份,C_New_Strategy (最高共振),39.69,9.35,78.95212364692023,83.0222222222222,True,True,1181.1237697579265,0
601390,中国中铁,C_New_Strategy (最高共振),5.8,6.84,71.5692403714615,45.98471487360371,True,False,783.2537666252747,0
002025,航天电器,A_Strong_Pullback (中风险接力),47.87,9.82,63.395317187752205,58.125605627914695,False,False,8.863896820352732,1
603895,天永智能,B_Low_Position_Start (低风险埋伏),29.3,4.08,65.74135604998929,59.918051792097984,False,False,268.2247326839563,2
603078,江化微,E_Leader_Restart (二次启动),29.4,25.51,79.22503103248184,86.94561980880741,False,False,3435.75192078564,3
000670,盈方微,E_Leader_Restart (二次启动),9.91,24.56,76.88043656365629,52.94444444444443,False,False,3209.911987405777,3
002658,雪迪龙,E_Leader_Restart (二次启动),10.44,14.02,75.75547538403208,94.53401545099854,False,False,1805.5560003030207,3
603138,海量数据,E_Leader_Restart (二次启动),17.83,11.17,79.58413528368149,88.17720261579129,False,False,1511.2231449018277,3
605090,九丰能源,E_Leader_Restart (二次启动),40.74,8.4,75.78154983501607,88.15823512609893,True,False,1082.1605316440293,3
603883,老百姓,D_Strong_Breakout (高风险追涨/优化),16.44,6.84,74.20961674887792,77.61777285454946,True,False,558.3531564185575,4
