code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
600667,太极实业,C_New_Strategy (最高共振),9.3,15.9,81.64540955873734,79.51354696619077,True,False,2077.059219174278,0
002870,香山股份,C_New_Strategy (最高共振),39.69,9.35,78.95212364692023,83.0222222222222,True,True,1181.1237697579265,0
002025,航天电器,A_Strong_Pullback (中风险接力),47.87,9.82,63.395317187752205,58.125605627914695,False,False,8.863896820352732,1
603895,天永智能,B_Low_Position_Start (低风险埋伏),29.3,4.08,65.74135604998929,59.918051792097984,False,False,268.2247326839563,2
002196,方正电机,E_Leader_Restart (二次启动),16.53,39.47,72.84518868138014,74.50078067650107,False,False,4887.839315331926,3
002114,罗平锌电,E_Leader_Restart (二次启动),9.73,29.01,69.60026999030796,69.39019034459125,False,False,3432.4765151120178,3
603023,威帝股份,E_Leader_Restart (二次启动),5.92,22.12,67.18283474720792,88.45255092885171,False,False,2526.343317834007,3
605090,九丰能源,E_Leader_Restart (二次启动),40.74,8.4,75.78154983501607,88.15823512609893,True,False,1082.1605316440293,3
600841,动力新科,E_Leader_Restart (二次启动),6.86,8.01,78.48632563704079,75.17460317460319,True,False,1068.7482961995845,3
002845,同兴达,D_Strong_Breakout (高风险追涨/优化),15.41,10.55,74.96751324094745,79.37027214706416,True,False,869.9979911611954,4
600955,维远股份,D_Strong_Breakout (高风险追涨/优化),18.72,6.08,74.66961189879862,82.76758726251819,True,False,499.3903643791652,4
600073,光明肉业,D_Strong_Breakout (高风险追涨/优化),6.75,3.19,73.90983177738367,78.97435897435903,True,False,259.34959970683934,4
