code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
002209,达 意 隆,C_New_Strategy (最高共振),17.25,11.82,74.89892917503768,67.1842117995964,True,False,1416.4885485583127,0
002870,香山股份,C_New_Strategy (最高共振),39.69,9.35,78.95212364692023,83.0222222222222,True,True,1181.1237697579265,0
002197,ST证通,A_Strong_Pullback (中风险接力),11.0,12.07,64.02636895261443,73.64838631940867,False,False,13.670393060437405,1
002025,航天电器,A_Strong_Pullback (中风险接力),47.87,9.82,63.395317187752205,58.125605627914695,False,False,8.863896820352732,1
600095,湘财股份,A_Strong_Pullback (中风险接力),11.82,3.93,61.72760087878947,79.91424901984885,False,False,5.0067752352729045,1
603895,天永智能,B_Low_Position_Start (低风险埋伏),29.3,4.08,65.74135604998929,59.918051792097984,False,False,268.2247326839563,2
002519,银河电子,E_Leader_Restart (二次启动),11.46,40.51,78.9824982015454,70.32898820608321,False,True,5439.287703645826,3
603282,亚光股份,E_Leader_Restart (二次启动),22.4,20.19,79.14483889247875,78.58538879680393,False,False,2716.488305306548,3
600783,鲁信创投,E_Leader_Restart (二次启动),35.5,12.96,70.63785769527527,86.9375769631524,False,False,1556.293280742305,3
000066,中国长城,E_Leader_Restart (二次启动),16.74,9.16,78.97073746353036,73.0444807583097,False,False,1229.7323237820947,3
605090,九丰能源,E_Leader_Restart (二次启动),40.74,8.4,75.78154983501607,88.15823512609893,True,False,1082.1605316440293,3
002085,万丰奥威,D_Strong_Breakout (高风险追涨/优化),17.32,9.97,69.97888190549237,62.58673157094668,True,False,767.4583978575349,4
600769,祥龙电业,D_Strong_Breakout (高风险追涨/优化),13.83,6.71,73.12440731488223,76.55035447138584,True,False,539.7312503911457,4
